Contact_ID,MNI_X,MNI_Y,MNI_Z
RCS01_R11,NaN,NaN,NaN
RCS01_R10,NaN,NaN,NaN
RCS01_R09,NaN,NaN,NaN
RCS01_R08,NaN,NaN,NaN
RCS01_L11,-27.52510216,-4.458430774,67.0628192
RCS01_L10,-27.42310324,-13.34103186,74.34295776
RCS01_L09,-24.87854256,-23.41414146,76.5231067
RCS01_L08,-21.22998313,-32.4361677,76.98927294
RCS02_R11,28.7379679,-1.513903181,69.22275591
RCS02_R10,26.24444667,-10.46211298,74.78130908
RCS02_R09,23.34222184,-20.76171337,75.6766711
RCS02_R08,20.82260388,-29.63305787,78.5934485
RCS02_L11,-30.96592094,-3.477978442,67.65511061
RCS02_L10,-31.82791137,-12.39457815,71.08469511
RCS02_L09,-33.5651114,-22.59948168,72.69643941
RCS02_L08,-33.61895389,-33.125142,70.86688099
RCS03_R11,31.09480597,-9.187112071,72.85066967
RCS03_R10,28.45930241,-20.91736529,76.21592558
RCS03_R09,26.16714545,-30.46418067,76.06047938
RCS03_R08,23.59866249,-39.99826273,78.27273923
RCS03_L11,-22.25538432,-7.200260967,73.82050639
RCS03_L10,-21.92054221,-18.22783441,76.92269272
RCS03_L09,-20.36010893,-27.74347896,76.62233361
RCS03_L08,-18.99618828,-38.60365981,76.63553513
RCS04_R11,26.96154063,-9.960744124,74.99022467
RCS04_R10,25.83475461,-20.84074138,76.44616887
RCS04_R09,25.97592388,-30.58604579,76.13664139
RCS04_R08,27.29772988,-40.3512092,74.79464901
RCS04_L11,-29.18799301,-14.65951376,74.49175618
RCS04_L10,-27.56988621,-24.23225068,75.56644232
RCS04_L09,-25.90340005,-35.14395947,77.03680021
RCS04_L08,-22.83636611,-44.92448819,76.96885345
RCS05_R11,30.01972751,5.986906439,63.63127543
RCS05_R10,30.95052279,-3.101310427,68.24626973
RCS05_R09,32.35845912,-12.09092496,71.69005962
RCS05_R08,33.10150867,-21.89952687,71.30766065
RCS05_L11,-23.53467502,-1.129102376,69.05230654
RCS05_L10,-23.53943375,-10.28691436,72.70601128
RCS05_L09,-22.4526742,-20.79523545,74.50279357
RCS05_L08,-21.19247557,-30.16072538,74.78589639
RCS06_R11,39.22595166,-3.652272195,66.15757943
RCS06_R10,38.52536922,-16.24434118,71.23466504
RCS06_R09,35.25765328,-29.94339734,73.26202763
RCS06_R08,32.50324305,-40.99250849,72.34043927
RCS06_L11,-24.36817776,-8.904420963,71.9500344
RCS06_L10,-26.38005174,-19.84415038,75.97698561
RCS06_L09,-25.0460375,-33.49336138,76.85019309
RCS06_L08,-24.3412401,-43.72163151,73.76190867
RCS07_R11,27.24233027,-6.192352452,69.74833684
RCS07_R10,26.22066309,-13.23087511,74.25679978
RCS07_R09,26.41656606,-23.85999763,76.61720535
RCS07_R08,25.19962253,-33.05431823,74.02857873
RCS07_L11,-30.42004507,-4.284643845,67.84532887
RCS07_L10,-33.54333622,-12.68211284,70.86969034
RCS07_L09,-34.58868136,-23.32873537,73.27239937
RCS07_L08,-35.33730692,-33.40222326,72.0994776
RCS08_R11,34.79446464,-0.765469926,63.27243212
RCS08_R10,36.03123422,-9.440886498,66.75891361
RCS08_R09,37.26513299,-20.46575331,67.62489612
RCS08_R08,38.91608469,-29.08698029,66.33572561
RCS08_L11,-28.73631568,-11.52377917,70.37242532
RCS08_L10,-27.51629799,-23.02027309,72.0281419
RCS08_L09,-26.3837615,-31.29384046,71.04579933
RCS08_L08,-25.11175135,-41.96326781,70.26741657
RCS09_R11,28.66021216,-5.751042692,71.95403945
RCS09_R10,27.27456655,-17.43375289,74.62918732
RCS09_R09,27.22329026,-27.47881255,74.03946472
RCS09_R08,25.7402437,-37.24548129,73.96096431
RCS09_L11,-32.98003345,-11.41098207,71.56594475
RCS09_L10,-28.9584736,-22.84301241,73.80809384
RCS09_L09,-23.64707411,-32.29261728,75.00369869
RCS09_L08,-19.88872858,-41.99115624,74.61865363
RCS10_R11,30.18384684,-9.372534121,71.70178646
RCS10_R10,29.07906695,-22.1163972,72.29463378
RCS10_R09,27.84710029,-32.16598231,72.654097
RCS10_R08,27.95530347,-43.34272876,73.38435942
RCS10_L11,-19.51274481,-17.21264298,76.23129495
RCS10_L10,-23.27189303,-28.54917168,75.50178226
RCS10_L09,-26.25386306,-38.73611629,72.81803651
RCS10_L08,-28.35973086,-47.6088603,71.43239247
RCS11_R11,30.36419275,-10.03447828,73.98926919
RCS11_R10,31.60536993,-22.45572214,76.1028683
RCS11_R09,29.40820253,-32.68886704,73.88703975
RCS11_R08,29.26968645,-43.21533833,74.51459328
RCS11_L11,-26.4297301,-8.742297618,73.79094066
RCS11_L10,-27.90298093,-20.02377626,76.40292905
RCS11_L09,-26.82986182,-31.40337731,75.98712788
RCS11_L08,-26.92928848,-41.43846147,76.93892335
RCS12_R11,32.52780892,-8.06702785,70.70273263
RCS12_R10,32.72769065,-18.99901936,73.97403162
RCS12_R09,31.33215774,-29.17057343,74.28582297
RCS12_R08,28.64088825,-38.47446651,72.90570959
RCS12_L11,-36.59756645,-14.65432471,70.34452635
RCS12_L10,-34.70009503,-25.62308509,71.75264179
RCS12_L09,-33.18640284,-34.63717154,72.31258007
RCS12_L08,-30.61146195,-44.49530454,69.93506242
RCS13_R11,NaN,NaN,NaN
RCS13_R10,NaN,NaN,NaN
RCS13_R09,NaN,NaN,NaN
RCS13_R08,NaN,NaN,NaN
RCS13_L11,NaN,NaN,NaN
RCS13_L10,NaN,NaN,NaN
RCS13_L09,NaN,NaN,NaN
RCS13_L08,NaN,NaN,NaN
RCS14_R11,NaN,NaN,NaN
RCS14_R10,NaN,NaN,NaN
RCS14_R09,NaN,NaN,NaN
RCS14_R08,NaN,NaN,NaN
RCS14_L11,-23.31015346,-6.945001836,74.44797941
RCS14_L10,-20.63518058,-18.85998183,77.72956771
RCS14_L09,-19.19755992,-27.74042448,78.38258128
RCS14_L08,-16.37951112,-38.55381245,79.30893728
RCS15_R11,31.5538531,-13.19716125,71.70020259
RCS15_R10,29.10072689,-22.65408436,72.03502421
RCS15_R09,26.5914428,-33.22452697,72.56077281
RCS15_R08,26.03463643,-43.76954678,72.37052894
RCS15_L11,-28.09126984,-7.972201514,70.63784439
RCS15_L10,-26.92434221,-18.13756771,74.29760453
RCS15_L09,-26.88489478,-27.46276844,75.22385746
RCS15_L08,-25.56824849,-37.01514012,73.39704987
RCS16_R11,24.06516461,-8.248185946,73.16515113
RCS16_R10,24.61202746,-17.91011959,77.00657488
RCS16_R09,23.0938171,-29.3260289,77.41088204
RCS16_R08,22.21451375,-41.04235632,76.13397848
RCS16_L11,-31.18991058,-12.68886798,71.97705694
RCS16_L10,-31.14803345,-26.32066269,74.92314388
RCS16_L09,-30.06384635,-36.716279,74.11128715
RCS16_L08,-29.02545877,-47.19708125,71.94039932
RCS17_R11,38.92099973,-7.801354037,68.95625003
RCS17_R10,36.86571176,-19.12022624,73.066643
RCS17_R09,33.25659694,-28.91819571,74.12820544
RCS17_R08,29.09897518,-38.50356407,75.47458586
RCS17_L11,-28.10614271,-10.25353707,75.03102893
RCS17_L10,-27.952305,-20.79041344,77.02640489
RCS17_L09,-26.87433513,-31.74478251,77.24466338
RCS17_L08,-25.62372004,-41.58348043,76.17704244
RCS18_R11,31.13375172,-7.79313514,69.95682468
RCS18_R10,30.426112,-19.70571722,73.20443472
RCS18_R09,28.93497416,-29.54818438,73.33989613
RCS18_R08,25.26965001,-38.87064404,72.2755417
RCS18_L11,-30.98527351,-7.059678128,68.95676443
RCS18_L10,-33.33109806,-17.91778992,73.38555504
RCS18_L09,-32.69987956,-28.82274299,73.32973619
RCS18_L08,-31.575712,-39.14640809,70.7679257
RCS19_R11,28.74908,-9.521593797,73.35798743
RCS19_R10,26.29701131,-21.35974331,77.19800049
RCS19_R09,22.84764298,-29.86778635,76.84228403
RCS19_R08,21.67829839,-40.72637257,77.55870595
RCS19_L11,-25.3022044,-8.348377725,73.0689046
RCS19_L10,-24.80200588,-18.97467127,76.76087724
RCS19_L09,-22.24683385,-29.54538405,78.59463824
RCS19_L08,-21.13737703,-39.11246186,76.83801241
RCS20_R11,32.10198644,-5.621430544,71.87145764
RCS20_R10,32.64195763,-15.91345094,74.84301953
RCS20_R09,29.30589736,-26.25028383,76.66951113
RCS20_R08,27.88877967,-35.59468653,76.3764691
RCS20_L11,-25.44948238,-12.20954532,76.2157206
RCS20_L10,-23.82056908,-23.5678324,78.44407115
RCS20_L09,-22.11575118,-32.84866375,79.04751571
RCS20_L08,-20.38539668,-43.68486021,78.15081683